method_name,cluster_id
checkDOMNSErr,0
checkNamespaceWF,0
checkQName,0
cloneNode,0
createAttribute,0
createElement,0
createElementDefinition,0
createEntity,0
createEntityReference,0
createNotation,0
createProcessingInstruction,0
getErrorChecking,0
getStrictErrorChecking,0
isValidQName,0
isXML11Version,0
isXMLName,0
saveXML,0
setErrorChecking,0
setStrictErrorChecking,0
setXmlVersion,0
abort,1
addEventListener,1
callUserDataHandlers,1
canRenameElements,1
changed,1
changes,1
clearIdentifiers,1
copyEventListeners,1
createAttributeNS,1
createCDATASection,1
createComment,1
createDocumentFragment,1
createDocumentType,1
createElementNS,1
createTextNode,1
deletedText,1
dispatchEvent,1
freeNodeListCache,1
getAsync,1
getBaseURI,1
getDoctype,1
getDocumentElement,1
getDocumentURI,1
getDomConfig,1
getElementById,1
getElementsByTagName,1
getElementsByTagNameNS,1
getEncoding,1
getFeature,1
getIdentifier,1
getIdentifiers,1
getImplementation,1
getInputEncoding,1
getMutationEvents,1
getNodeListCache,1
getNodeName,1
getNodeNumber,1
getNodeType,1
getOwnerDocument,1
getStandalone,1
getTextContent,1
getUserData,1
getUserDataRecord,1
getVersion,1
getXmlEncoding,1
getXmlStandalone,1
getXmlVersion,1
insertedNode,1
insertedText,1
insertingNode,1
isKidOK,1
isNormalizeDocRequired,1
isXMLVersionChanged,1
load,1
loadXML,1
modifiedAttrValue,1
modifiedCharacterData,1
modifyingCharacterData,1
normalizeDocument,1
putIdentifier,1
readObject,1
removeEventListener,1
removeIdentifier,1
removeUserDataTable,1
removedAttrNode,1
removedNode,1
removingNode,1
renamedAttrNode,1
renamedElement,1
replaceRenameElement,1
replacedCharacterData,1
replacedNode,1
replacedText,1
replacingData,1
replacingNode,1
setAsync,1
setAttrNode,1
setDocumentURI,1
setEncoding,1
setInputEncoding,1
setMutationEvents,1
setStandalone,1
setTextContent,1
setUserData,1
setUserDataTable,1
setVersion,1
setXmlEncoding,1
setXmlStandalone,1
undeferChildren,1
writeObject,1
importNode,2
renameNode,3
adoptNode,4
clone,4
insertBefore,4
removeChild,4
replaceChild,4
