method_name,cluster_id
createAttributeDecl,0
ensureAttributeDeclCapacity,0
getAttributeDecl,0
setAttributeDecl,0
addContentSpecNode,1
addUniqueLeafNode,1
any,1
appendContentSpec,1
buildSyntaxTree,1
comment,1
contentSpecTree,1
createChildModel,1
createNotationDecl,1
empty,1
endAttlist,1
endConditional,1
endContentModel,1
endExternalSubset,1
endParameterEntity,1
ensureContentSpecCapacity,1
ensureNotationDeclCapacity,1
externalEntityDecl,1
getAttributeDeclIndex,1
getDTDContentModelSource,1
getDTDSource,1
getElementDeclIndex,1
getEntityDeclIndex,1
getFirstElementDeclIndex,1
getGrammarDescription,1
getNextElementDeclIndex,1
getNotationDeclIndex,1
getSymbolTable,1
ignoredCharacters,1
internalEntityDecl,1
isCDATAAttribute,1
isEntityDeclared,1
isImmutable,1
isNamespaceAware,1
notationDecl,1
pcdata,1
printAttribute,1
printAttributes,1
printElements,1
processingInstruction,1
putElementNameMapping,1
resize,1
setDTDContentModelSource,1
setDTDSource,1
startAttlist,1
startConditional,1
startContentModel,1
startExternalSubset,1
startParameterEntity,1
textDecl,1
unparsedEntityDecl,1
attributeDecl,2
createContentSpec,2
createElementDecl,2
createEntityDecl,2
elementDecl,2
endDTD,2
ensureElementDeclCapacity,2
getAttributeDeclIsExternal,2
getContentSpec,2
getContentSpecAsString,2
getContentSpecIndex,2
getContentSpecType,2
getElementContentModelValidator,2
getElementDecl,2
getElementDeclIsExternal,2
getElementDeclName,2
getFirstAttributeDeclIndex,2
getNextAttributeDeclIndex,2
getNotationDecl,2
isEntityUnparsed,2
setContentSpec,2
setContentSpecIndex,2
setElementDecl,2
setFirstAttributeDeclIndex,2
setNotationDecl,2
addContentSpecToElement,3
element,3
endGroup,3
initializeContentModelStack,3
occurrence,3
separator,3
startDTD,3
startGroup,3
ensureEntityDeclCapacity,4
getEntityDecl,4
setEntityDecl,4
