method_name,cluster_id
addGlobalAttributeDecl,0
addGlobalAttributeDecls,0
addGlobalAttributeGroupDecl,0
addGlobalAttributeGroupDecls,0
addGlobalComponent,0
addGlobalComponents,0
addGlobalElementDecl,0
addGlobalElementDecls,0
addGlobalGroupDecl,0
addGlobalGroupDecls,0
addGlobalNotationDecl,0
addGlobalNotationDecls,0
addGlobalTypeDecl,0
addGlobalTypeDecls,0
addGrammarComponents,0
addGrammars,0
addIDConstraintDecl,0
addImportList,0
addNamespaceDependency,0
addNewGrammarComponents,0
addNewGrammarLocations,0
addNewImportedGrammars,0
addRelatedAttribute,0
addRelatedElement,0
addRelatedType,0
canAddComponent,0
canAddComponents,0
changeRedefineGroup,0
checkForDuplicateNames,0
constructTrees,0
containedImportedGrammar,0
createAnnotationValidator,0
createGrammarFrom,0
createTraversers,0
doc2SystemId,0
element2Locator,0
emptyString2Null,0
existingGrammars,0
expandComponents,0
expandGrammars,0
expandImportList,0
expandRelatedAttributeComponents,0
expandRelatedAttributeGroupComponents,0
expandRelatedAttributeUseComponents,0
expandRelatedAttributeUsesComponents,0
expandRelatedComplexTypeComponents,0
expandRelatedComponents,0
expandRelatedElementComponents,0
expandRelatedModelGroupComponents,0
expandRelatedModelGroupDefinitionComponents,0
expandRelatedParticleComponents,0
expandRelatedSimpleTypeComponents,0
expandRelatedTypeComponents,0
findDependentNamespaces,0
findGrammar,0
findQName,0
findXSDocumentForDecl,0
getGlobalAttributeDecl,0
getGlobalAttributeGroupDecl,0
getGlobalDecl,0
getGlobalDeclFromGrammar,0
getGlobalElementDecl,0
getGlobalGroupDecl,0
getGlobalNotationDecl,0
getGlobalTypeDecl,0
getGrammar,0
getGrpOrAttrGrpRedefinedByRestriction,0
getIDConstraintDecl,0
getIDRegistry,0
getIDRegistry_sub,0
getSchemaDocument0,0
getSchemaDocument1,0
getSchemaGrammar,0
isExistingGrammar,0
needReportTNSError,0
nonAnnotationContent,0
null2EmptyString,0
parseSchema,0
prepareForParse,0
removeParticle,0
renameRedefiningComponents,0
reportSchemaError,0
reportSchemaWarning,0
reportSharingError,0
resolveKeyRefs,0
resolveSchema,0
resolveSchemaSource,0
schemaDocument2SystemId,0
setDVFactory,0
setDeclPool,0
setGenerateSyntheticAnnotations,0
setSchemasVisible,0
storeKeyRef,0
traverseGlobalDecl,0
traverseSchemas,0
updateImportDependencies,0
updateImportList,0
updateImportListFor,0
updateImportListWith,0
validateAnnotations,0
buildGlobalNameRegistries,1
getSchemaDocument,2
reset,3
fillInLocalElemInfo,4
prepareForTraverse,4
traverseLocalElements,4
